"V1","V4","V5"
"SRX038615","H3K4me3","Cardiovascular"
"SRX038644","CTCF","Epidermis"
"SRX038646","H3K27ac","Epidermis"
"SRX038647","H3K27ac","Epidermis"
"SRX038648","H3K27me3","Epidermis"
"SRX038649","H3K27me3","Epidermis"
"SRX038656","H3K4me3","Epidermis"
"SRX038657","H3K4me3","Epidermis"
"SRX038664","CTCF","Lung"
"SRX038665","CTCF","Lung"
"SRX038666","H3K27ac","Lung"
"SRX038667","H3K27ac","Lung"
"SRX038668","H3K27me3","Lung"
"SRX038669","H3K27me3","Lung"
"SRX038676","H3K4me3","Lung"
"SRX038677","H3K4me3","Lung"
"SRX038777","DOT1L","Pluripotent stem cell"
"SRX038917","H3K27me3","Blood"
"SRX040375","DNase-Seq","Others"
"SRX040391","DNase-Seq","Digestive tract"
"SRX040394","DNase-Seq","Digestive tract"
"SRX040401","DNase-Seq","Digestive tract"
"SRX040411","DNase-Seq","Digestive tract"
"SRX040416","DNase-Seq","Blood"
"SRX040574","H1B","Lung"
"SRX041286","STAT1","Blood"
"SRX041287","STAT1","Blood"
"SRX041288","STAT4","Blood"
"SRX041289","STAT4","Blood"
"SRX041290","STAT5A","Blood"
"SRX041291","STAT5A","Blood"
"SRX041292","STAT5B","Blood"
"SRX041293","STAT5B","Blood"
"SRX055156","DNase-Seq","Blood"
"SRX055157","DNase-Seq","Blood"
"SRX055158","DNase-Seq","Kidney"
"SRX055162","DNase-Seq","Digestive tract"
"SRX055164","DNase-Seq","Blood"
"SRX055165","DNase-Seq","Kidney"
"SRX055166","DNase-Seq","Kidney"
"SRX055167","DNase-Seq","Blood"
"SRX055173","DNase-Seq","Others"
"SRX055174","DNase-Seq","Kidney"
"SRX055185","DNase-Seq","Digestive tract"
"SRX062367","DNase-Seq","Lung"
"SRX065541","Epitope tags","Kidney"
"SRX065542","Epitope tags","Kidney"
"SRX065546","TRIM28","Kidney"
"SRX065547","TRIM28","Kidney"
"SRX065548","ELK4","Kidney"
"SRX065549","ELK4","Kidney"
"SRX067398","H4K20me1","Breast"
"SRX067401","H3K4me3","Epidermis"
"SRX067405","H3K4me2","Breast"
"SRX067411","H3K27ac","Breast"
"SRX067413","H3K27ac","Epidermis"
"SRX067456","H3K4me1","Breast"
"SRX067458","H3K36me3","Breast"
"SRX067460","H3K9ac","Epidermis"
"SRX067463","H3K4me3","Breast"
"SRX067464","H3K9ac","Breast"
"SRX067473","H3K27me3","Breast"
"SRX067475","CTCF","Breast"
"SRX067480","H3K27me3","Neural"
"SRX067484","H3K36me3","Epidermis"
"SRX067490","H3K27ac","Bone"
"SRX067495","CTCF","Epidermis"
"SRX067496","H3K27me3","Epidermis"
"SRX067498","H3K4me3","Neural"
"SRX067504","H3K4me2","Epidermis"
"SRX067514","H3K27ac","Neural"
"SRX067516","CTCF","Neural"
"SRX067535","CTCF","Bone"
"SRX069084","DNase-Seq","Placenta"
"SRX069087","DNase-Seq","Cardiovascular"
