"V1","V4","V5"
"SRX150496","SUPT20H","Blood"
"SRX150509","BHLHE40","Blood"
"SRX150510","MXI1","Blood"
"SRX150521","IKZF1","Blood"
"SRX150544","GATA1","Blood"
"SRX150561","YY1","Blood"
"SRX150562","ZZZ3","Blood"
"SRX150571","WRNIP1","Blood"
"SRX150585","NFYA","Blood"
"SRX150586","NFYB","Blood"
"SRX150597","MAX","Blood"
"SRX150598","CEBPB","Lung"
"SRX150620","JUND","Blood"
"SRX150635","RFX5","Blood"
"SRX150636","STAT3","Blood"
"SRX150637","USF2","Blood"
"SRX150651","MAX","Cardiovascular"
"SRX150656","ZNF263","Kidney"
"SRX150662","RCOR1","Blood"
"SRX150691","STAT1","Blood"
"SRX150692","ZNF143","Blood"
"SRX150703","RAD21","Lung"
"SRX150730","IRF3","Blood"
"SRX150731","NFE2","Blood"
"SRX150732","TBL1XR1","Blood"
"SRX151348","H3K4me3","Lung"
"SRX151349","H3K4me3","Lung"
"SRX151350","H3K4me3","Lung"
"SRX151351","H3K4me3","Lung"
"SRX151352","H3K4me3","Lung"
"SRX151353","H3K4me3","Lung"
"SRX151354","H3K4me3","Lung"
"SRX151355","H3K4me3","Lung"
"SRX151356","H3K4me3","Lung"
"SRX151357","H3K4me3","Lung"
"SRX151358","H3K4me3","Lung"
"SRX151359","H3K4me3","Lung"
"SRX151360","H3K4me3","Lung"
"SRX151361","H3K4me3","Lung"
"SRX151362","H3K4me3","Lung"
"SRX151363","H3K4me3","Lung"
"SRX151364","H3K4me3","Lung"
"SRX151365","H3K4me3","Lung"
"SRX151366","H3K4me3","Lung"
"SRX151367","H3K4me3","Lung"
"SRX151368","H3K4me3","Lung"
"SRX151369","H3K4me3","Lung"
"SRX151370","H3K4me3","Lung"
"SRX151371","H3K4me3","Lung"
"SRX151372","H3K4me3","Lung"
"SRX151373","H3K4me3","Lung"
"SRX151374","H3K4me3","Lung"
"SRX151375","H3K4me3","Lung"
"SRX151376","H3K4me3","Lung"
"SRX151377","H3K4me3","Lung"
"SRX151378","H3K4me3","Lung"
"SRX151379","H3K4me3","Lung"
"SRX151380","H3K4me3","Lung"
"SRX151381","H3K4me3","Lung"
"SRX151382","H3K4me3","Lung"
"SRX151383","H3K4me3","Lung"
"SRX151384","H3K4me3","Lung"
"SRX151385","H3K4me3","Lung"
"SRX151386","H3K4me3","Lung"
"SRX151387","H3K4me3","Lung"
"SRX151388","H3K4me3","Lung"
"SRX151389","H3K4me3","Lung"
"SRX151390","H3K4me3","Lung"
"SRX151391","H3K4me3","Lung"
"SRX151392","H3K4me3","Lung"
"SRX151393","H3K4me3","Lung"
"SRX151394","H3K4me3","Lung"
"SRX151395","H3K4me3","Lung"
"SRX151398","H3K4me3","Liver"
"SRX1514916","GFP","Kidney"
"SRX151939","IRF5","Blood"
"SRX151940","IRF5","Blood"
"SRX151947","STAT4","Blood"
"SRX151948","STAT4","Blood"
"SRX1530787","EBNA2","Blood"
"SRX154494","H3K4me3","Prostate"
"SRX154496","H3K27me3","Prostate"
"SRX154498","CTCF","Prostate"
"SRX1548204","E2F1","Cardiovascular"
"SRX1548205","E2F1","Cardiovascular"
"SRX1548210","H3K27ac","Cardiovascular"
"SRX1548211","H3K27ac","Cardiovascular"
"SRX1548216","H3K27me3","Cardiovascular"
"SRX1548217","H3K27me3","Cardiovascular"
"SRX1548234","H3K4me3","Cardiovascular"
"SRX1548235","H3K4me3","Cardiovascular"
"SRX155715","HSF1","Breast"
"SRX155719","HSF1","Breast"
"SRX155739","HSF1","Digestive tract"
"SRX155740","HSF1","Digestive tract"
"SRX155764","HSF1","Breast"
"SRX156110","DNMT1","Pluripotent stem cell"
"SRX156111","DNMT3A","Pluripotent stem cell"
"SRX156112","DNMT3B","Pluripotent stem cell"
"SRX156115","H3K27me3","Pluripotent stem cell"
"SRX156118","DNMT1","Pluripotent stem cell"
"SRX156119","DNMT3A","Pluripotent stem cell"
"SRX156120","DNMT3B","Pluripotent stem cell"
"SRX156123","H3K27me3","Pluripotent stem cell"
"SRX156141","DNase-Seq","Pluripotent stem cell"
"SRX156142","DNase-Seq","Pluripotent stem cell"
"SRX1568604","H3K27ac","Digestive tract"
"SRX157607","HIF1A","Cardiovascular"
"SRX157608","HIF1A","Cardiovascular"
"SRX1583419","H3K27ac","Prostate"
"SRX159130","ZNF143","Kidney"
"SRX159134","ZNF76","Kidney"
"SRX1595751","H2A.XS139ph","Lung"
"SRX1595752","H2A.XS139ph","Lung"
"SRX1596297","H3K27ac","Muscle"
"SRX1596299","H3K4me3","Muscle"
"SRX1596304","Epitope tags","Muscle"
"SRX1596305","H3K27ac","Muscle"
"SRX1596307","H3K4me3","Muscle"
"SRX1614802","ZNF366","Blood"
"SRX1614803","ZNF366","Blood"
"SRX1614812","H3K27ac","Blood"
"SRX1614813","H3K27ac","Blood"
"SRX1614815","H3K4me3","Blood"
"SRX1614816","H3K4me3","Blood"
"SRX1629831","OVOL2","Others"
"SRX1658064","H3K27ac","Lung"
"SRX1658065","H3K27ac","Lung"
"SRX1658066","H3K27ac","Lung"
"SRX1658067","BRD4","Lung"
"SRX1658068","BRD4","Lung"
"SRX1658069","BRD4","Lung"
"SRX1658073","H3K27ac","Lung"
"SRX1658074","H3K27ac","Lung"
"SRX1672123","NR3C1","Lung"
"SRX1672124","NR3C1","Lung"
"SRX1672127","NR3C1","Lung"
"SRX1672128","NR3C1","Lung"
"SRX1672129","RELA","Lung"
"SRX1672130","RELA","Lung"
"SRX1672133","RELA","Lung"
"SRX1672136","NR3C1","Lung"
"SRX1672137","NR3C1","Lung"
"SRX1672138","RELA","Lung"
"SRX1672139","RELA","Lung"
"SRX170356","SMARCA4","Blood"
"SRX170373","BRD2","Kidney"
"SRX170374","BRD3","Kidney"
"SRX170375","BRD4","Kidney"
"SRX170376","CBX5","Kidney"
"SRX170377","CBX1","Kidney"
"SRX1707573","H3K27me3","Pancreas"
"SRX1707574","H3K27me3","Pancreas"
"SRX1721484","ETV1","Digestive tract"
"SRX1721486","ETV1","Digestive tract"
"SRX1721488","ETV1","Epidermis"
"SRX1721490","ETV1","Epidermis"
"SRX1733633","H3K27ac","Blood"
"SRX1738531","CTCF","Blood"
"SRX1738532","STAG1","Blood"
"SRX1782978","ZMYND8","Kidney"
"SRX1782979","ZMYND8","Kidney"
"SRX1782982","H3K27ac","Kidney"
"SRX1801654","CTCF","Digestive tract"
"SRX1801655","CTCF","Digestive tract"
"SRX1802099","H3K4me3","Blood"
"SRX1802101","H3K4me3","Blood"
"SRX180823","E2F7","Lung"
"SRX180824","E2F7","Lung"
"SRX180825","E2F7","Lung"
"SRX180826","E2F7","Lung"
"SRX180827","E2F7","Lung"
"SRX1823772","H3K27ac","Bone"
"SRX1823773","H3K27ac","Bone"
"SRX1823779","H3K27me3","Bone"
"SRX1823780","H3K27me3","Bone"
"SRX1829864","INO80","Epidermis"
"SRX183898","H3K27ac","Blood"
"SRX183899","H3K27ac","Blood"
"SRX1842780","MYCN","Neural"
"SRX1842781","MYCN","Neural"
"SRX1845643","SMAD1","Epidermis"
"SRX1845644","SMAD1","Epidermis"
"SRX185708","PGR","Muscle"
"SRX185775","POU5F1","Epidermis"
"SRX185776","MYC","Epidermis"
"SRX186607","ZNF384","Blood"
"SRX186608","SREBF2","Blood"
"SRX186609","CUX1","Blood"
"SRX186610","ESRRA","Blood"
"SRX186617","RCOR1","Lung"
"SRX186618","MAZ","Lung"
"SRX186619","MXI1","Lung"
"SRX186620","RFX5","Lung"
"SRX186621","MAFK","Blood"
"SRX186622","SREBF1","Blood"
"SRX186628","CHD1","Lung"
"SRX186655","H3K27ac","Blood"
"SRX186662","H3K27me3","Bone"
"SRX186666","EZH2","Blood"
"SRX186670","CTCF","Blood"
"SRX186680","EZH2","Muscle"
"SRX186681","H3K9me3","Breast"
"SRX186682","H4K20me1","Epidermis"
"SRX186685","EZH2","Epidermis"
"SRX186694","EZH2","Blood"
"SRX186696","H2A.Z","Breast"
"SRX186697","EZH2","Breast"
"SRX186701","H2A.Z","Epidermis"
"SRX186702","H3K4me3","Bone"
"SRX186704","CTCF","Blood"
"SRX186710","EP300","Bone"
"SRX186714","EZH2","Cardiovascular"
"SRX186719","EZH2","Muscle"
"SRX186722","H3K4me1","Epidermis"
"SRX186725","EZH2","Lung"
"SRX186728","EZH2","Neural"
"SRX186746","EZH2","Epidermis"
"SRX186749","H3K9me3","Epidermis"
"SRX186750","H3K79me2","Epidermis"
"SRX186753","H3K79me2","Breast"
"SRX186760","H3K27me3","Blood"
"SRX188946","CTCF","Blood"
"SRX188947","CTCF","Blood"
"SRX188950","CTCF","Blood"
"SRX188958","CTCF","Pancreas"
"SRX188959","CTCF","Lung"
"SRX188960","CTCF","Others"
"SRX188962","CTCF","Blood"
"SRX188963","CTCF","Kidney"
"SRX188968","CTCF","Blood"
"SRX188970","CTCF","Neural"
"SRX189074","H3K27me3","Lung"
"SRX189075","H3K27me3","Lung"
"SRX189081","H3K4me3","Lung"
"SRX189082","H3K4me3","Lung"
"SRX189083","CTCF","Lung"
"SRX189084","CTCF","Lung"
"SRX1892845","DNase-Seq","Digestive tract"
"SRX189386","DNase-Seq","Blood"
"SRX189387","DNase-Seq","Blood"
"SRX189389","DNase-Seq","Cardiovascular"
"SRX189390","DNase-Seq","Muscle"
"SRX189393","DNase-Seq","Epidermis"
"SRX189394","DNase-Seq","Epidermis"
"SRX189396","DNase-Seq","Neural"
"SRX189401","DNase-Seq","Digestive tract"
"SRX189402","DNase-Seq","Blood"
"SRX189403","DNase-Seq","Kidney"
"SRX189407","DNase-Seq","Neural"
"SRX189408","DNase-Seq","Neural"
"SRX189409","DNase-Seq","Blood"
"SRX189413","DNase-Seq","Neural"
"SRX189414","DNase-Seq","Others"
"SRX189417","DNase-Seq","Blood"
"SRX189419","DNase-Seq","Blood"
"SRX189420","DNase-Seq","Blood"
"SRX189421","DNase-Seq","Blood"
"SRX189424","DNase-Seq","Prostate"
"SRX189432","DNase-Seq","Others"
"SRX189433","DNase-Seq","Others"
"SRX189740","ETS1","Cardiovascular"
"SRX189741","ETS1","Cardiovascular"
"SRX189939","H3K27ac","Lung"
"SRX189940","H3K27me3","Lung"
"SRX189942","H3K4me3","Breast"
"SRX189943","H3K27me3","Kidney"
"SRX189946","H3K4me3","Cardiovascular"
"SRX189949","H3K4me3","Others"
"SRX189951","H3K4me3","Epidermis"
"SRX189953","H3K4me3","Cardiovascular"
"SRX189955","H3K4me3","Epidermis"
"SRX189960","H3K4me3","Lung"
"SRX189961","H3K4me3","Epidermis"
"SRX189962","H3K4me3","Blood"
"SRX189970","H3K4me3","Epidermis"
"SRX189982","H3K4me3","Lung"
"SRX189983","H3K27me3","Lung"
"SRX189987","H3K27me3","Epidermis"
"SRX189988","H3K27me3","Blood"
"SRX189990","H3K36me3","Epidermis"
"SRX189997","H3K4me3","Muscle"
"SRX189999","H3K4me3","Kidney"
"SRX190001","H3K4me3","Epidermis"
"SRX190003","H3K4me3","Blood"
"SRX190004","H3K4me3","Blood"
"SRX190022","H3K4me3","Epidermis"
"SRX190025","H3K4me3","Neural"
"SRX190032","H3K4me3","Neural"
"SRX190034","H3K4me3","Epidermis"
"SRX190046","H3K4me3","Others"
"SRX190054","H3K4me3","Neural"
"SRX190056","H3K4me3","Placenta"
"SRX190059","H3K4me3","Kidney"
"SRX190060","H3K27me3","Breast"
"SRX190067","H3K4me3","Lung"
"SRX190069","H3K4me3","Digestive tract"
"SRX190073","H3K4me3","Breast"
"SRX190075","H3K4me3","Cardiovascular"
"SRX190078","H3K4me3","Blood"
"SRX190079","H3K4me3","Blood"
"SRX190084","H3K27me3","Blood"
"SRX190089","H3K4me3","Neural"
"SRX190091","H3K4me3","Cardiovascular"
"SRX190093","H3K4me3","Cardiovascular"
"SRX190095","H3K4me3","Cardiovascular"
"SRX190177","STAT5A","Blood"
"SRX190185","MTA3","Blood"
"SRX190186","EGR1","Blood"
"SRX190187","FOXM1","Blood"
"SRX190200","REST","Blood"
"SRX190201","TCF3","Blood"
"SRX190216","CREB1","Blood"
"SRX190226","TAF1","Neural"
"SRX190227","PML","Blood"
"SRX190235","NFATC1","Blood"
"SRX190236","ATF2","Blood"
"SRX190237","SIN3A","Neural"
"SRX190242","REST","Neural"
"SRX190306","CEBPB","Blood"
"SRX190337","NFIC","Blood"
"SRX190349","RUNX3","Blood"
"SRX190406","TFAP2C","Epidermis"
"SRX1916924","H3K27ac","Epidermis"
"SRX1916925","H3K27ac","Epidermis"
"SRX193584","DNase-Seq","Epidermis"
"SRX193593","DNase-Seq","Blood"
"SRX193596","DNase-Seq","Muscle"
"SRX193607","DNase-Seq","Epidermis"
"SRX193611","DNase-Seq","Muscle"
"SRX193613","DNase-Seq","Blood"
"SRX194192","TET3","Kidney"
"SRX1961296","VRK1","Bone"
"SRX1967776","CTCF","Epidermis"
"SRX1967777","CTCF","Epidermis"
"SRX1993434","ZSCAN5B","Kidney"
"SRX1993435","ZSCAN5B","Kidney"
"SRX199856","CTCF","Placenta"
"SRX199858","CTCF","Placenta"
"SRX199859","CTCF","Breast"
"SRX199863","CTCF","Lung"
"SRX199872","CTCF","Epidermis"
"SRX199885","CTCF","Cardiovascular"
"SRX199889","CTCF","Neural"
"SRX199890","CTCF","Neural"
"SRX199893","CTCF","Neural"
"SRX199894","CTCF","Kidney"
"SRX199895","CTCF","Kidney"
"SRX199896","CTCF","Neural"
"SRX199897","CTCF","Epidermis"
"SRX199899","CTCF","Epidermis"
"SRX199903","CTCF","Epidermis"
"SRX199904","CTCF","Epidermis"
"SRX199905","CTCF","Cardiovascular"
"SRX2000339","TET2","Breast"
"SRX2000340","RARB","Breast"
"SRX2000341","5-hmC","Breast"
"SRX2000342","TET3","Breast"
"SRX2000343","RARB","Breast"
"SRX2000344","5-hmC","Breast"
"SRX2004190","H3K27ac","Blood"
"SRX2010836","EHF","Lung"
"SRX2010837","EHF","Lung"
"SRX2010839","H3K4me3","Lung"
"SRX2010840","H3K27ac","Lung"
"SRX201251","DNase-Seq","Blood"
"SRX201252","DNase-Seq","Prostate"
"SRX201253","DNase-Seq","Prostate"
"SRX201256","DNase-Seq","Blood"
"SRX201266","DNase-Seq","Lung"
"SRX201273","DNase-Seq","Cardiovascular"
"SRX201278","DNase-Seq","Cardiovascular"
"SRX201279","DNase-Seq","Cardiovascular"
"SRX201285","DNase-Seq","Epidermis"
"SRX201286","DNase-Seq","Epidermis"
"SRX201287","DNase-Seq","Epidermis"
"SRX201289","DNase-Seq","Epidermis"
"SRX201290","DNase-Seq","Epidermis"
"SRX201291","DNase-Seq","Lung"
"SRX201292","DNase-Seq","Blood"
"SRX201295","DNase-Seq","Blood"
"SRX201300","DNase-Seq","Blood"
"SRX2014554","SMC1A","Epidermis"
"SRX201793","DNase-Seq","Gonad"
"SRX201806","DNase-Seq","Gonad"
"SRX201808","DNase-Seq","Muscle"
"SRX201809","DNase-Seq","Cardiovascular"
"SRX201813","DNase-Seq","Pancreas"
"SRX201821","DNase-Seq","Gonad"
"SRX201822","DNase-Seq","Pancreas"
"SRX203387","BRD4","Blood"
"SRX203388","BRD4","Blood"
"SRX203389","MYC","Blood"
"SRX203390","CDK9","Blood"
"SRX203391","CDK9","Blood"
"SRX203392","H3K27ac","Blood"
"SRX203393","H3K4me3","Blood"
"SRX203394","MAX","Blood"
"SRX203395","MED1","Blood"
"SRX2039696","H3K4me3","Neural"
"SRX2039697","H3K4me3","Neural"
"SRX2039704","H3K27me3","Neural"
"SRX2039705","H3K27me3","Neural"
"SRX204107","GRHL3","Epidermis"
"SRX204109","WDR5","Epidermis"
"SRX204162","SUMO1","Lung"
"SRX204163","SUMO1","Lung"
"SRX204164","SUMO2","Lung"
"SRX204165","UBE2I","Lung"
"SRX204173","SUMO2","Lung"
"SRX204174","UBE2I","Lung"
"SRX204179","PIAS4","Lung"
"SRX204180","PIAS4","Lung"
"SRX204662","RBBP5","Kidney"
"SRX205164","TAL1","Blood"
"SRX205165","TAL1","Blood"
"SRX2055063","H3K4me3","Kidney"
"SRX2055065","H3K27ac","Kidney"
"SRX208484","TP53","Lung"
"SRX2105477","DNase-Seq","Blood"
"SRX210718","MYC","Kidney"
"SRX210719","MYC","Kidney"
"SRX212318","CTCF","Blood"
"SRX212647","STAT1","Blood"
"SRX212648","STAT1","Blood"
"SRX212661","IRF1","Blood"
"SRX212662","IRF1","Blood"
"SRX2143792","MYC","Bone"
"SRX2143793","MEN1","Bone"
"SRX2143796","H3K4me3","Bone"
"SRX2158964","H3K4me3","Uterus"
"SRX2158965","H3K27me3","Uterus"
"SRX2158966","H3K27ac","Uterus"
"SRX2158973","H3K4me3","Uterus"
"SRX2158974","H3K27me3","Uterus"
"SRX2158975","H3K27ac","Uterus"
"SRX2164057","H3K4me3","Blood"
"SRX2164058","H3K4me3","Blood"
"SRX2166885","BRD4","Neural"
"SRX2166886","BRD4","Neural"
"SRX2166889","BRD4","Neural"
"SRX2166890","CTCF","Neural"
"SRX2166891","CTCF","Neural"
"SRX2166894","CTCF","Neural"
"SRX2166895","CTCF","Neural"
"SRX2166896","H3K27ac","Neural"
"SRX2166897","H3K27ac","Neural"
"SRX2166900","H3K27ac","Neural"
"SRX2166901","H3K27me3","Neural"
"SRX2166902","H3K27me3","Neural"
"SRX2166905","H3K27me3","Neural"
"SRX2166925","H3K4me3","Neural"
"SRX2166926","H3K4me3","Neural"
"SRX2166929","H3K4me3","Neural"
"SRX217069","H3K4me3","Others"
"SRX217070","H3K27ac","Others"
"SRX218418","GATA1","Blood"
"SRX218419","KLF1","Blood"
"SRX218420","NFE2","Blood"
"SRX218421","EP300","Blood"
"SRX218423","H3K4me3","Blood"
"SRX2188684","BRCA1","Lung"
"SRX2188685","BRCA1","Lung"
"SRX220061","PGR","Cardiovascular"
"SRX220062","PGR","Cardiovascular"
"SRX2250317","TP63","Others"
"SRX2253219","CD74","Blood"
"SRX2253220","CD74","Blood"
"SRX2253241","H3K27ac","Blood"
"SRX2253243","H3K27ac","Blood"
"SRX2267438","BRD4","Epidermis"
"SRX2267439","BRD4","Epidermis"
"SRX2267490","H3K27ac","Epidermis"
"SRX2267496","H3K27ac","Epidermis"
"SRX2339191","CREBBP","Blood"
"SRX2339193","CREBBP","Blood"
"SRX2346892","EPAS1","Cardiovascular"
"SRX2346893","ARNT","Cardiovascular"
"SRX2355057","CEBPD","Cardiovascular"
"SRX2355058","ERG","Cardiovascular"
"SRX2355059","ERG","Cardiovascular"
"SRX2355060","H3K27ac","Cardiovascular"
"SRX2355061","H3K27ac","Cardiovascular"
"SRX2355070","IRF1","Cardiovascular"
"SRX2355071","IRF1","Cardiovascular"
"SRX2355072","JUN","Cardiovascular"
"SRX2355073","JUN","Cardiovascular"
"SRX2355074","JUNB","Cardiovascular"
"SRX2355075","NFE2L2","Cardiovascular"
"SRX2355076","NFE2L2","Cardiovascular"
"SRX2355077","RELA","Cardiovascular"
"SRX2355078","RELA","Cardiovascular"
"SRX235608","SMC3","Kidney"
"SRX2368878","FOXA2","Epidermis"
"SRX2368879","FOXA2","Epidermis"
"SRX2368880","H3K27ac","Epidermis"
"SRX2368881","H3K27ac","Epidermis"
"SRX2368882","H3K4me2","Epidermis"
"SRX2368883","H3K4me2","Epidermis"
"SRX2368884","GATA4","Epidermis"
"SRX2368885","GATA4","Epidermis"
"SRX2368898","FOXA2","Epidermis"
"SRX2368899","FOXA2","Epidermis"
"SRX2368900","FOXA2","Epidermis"
"SRX2368901","FOXA2","Epidermis"
"SRX2370571","DNase-Seq","Muscle"
"SRX2370572","DNase-Seq","Muscle"
"SRX2370578","DNase-Seq","Kidney"
"SRX2370592","DNase-Seq","Blood"
"SRX2370593","DNase-Seq","Blood"
"SRX2370595","DNase-Seq","Placenta"
"SRX2370605","DNase-Seq","Others"
"SRX2370606","DNase-Seq","Others"
"SRX2370611","DNase-Seq","Neural"
"SRX2370612","DNase-Seq","Liver"
"SRX2370615","DNase-Seq","Digestive tract"
"SRX2370620","DNase-Seq","Uterus"
"SRX2370624","DNase-Seq","Lung"
"SRX2370625","DNase-Seq","Lung"
"SRX2370635","DNase-Seq","Bone"
"SRX2370636","DNase-Seq","Bone"
"SRX2370639","DNase-Seq","Neural"
"SRX2370640","DNase-Seq","Neural"
"SRX2370643","DNase-Seq","Liver"
"SRX2370645","DNase-Seq","Blood"
"SRX2370646","DNase-Seq","Blood"
"SRX2370668","DNase-Seq","Adipocyte"
"SRX2370669","DNase-Seq","Adipocyte"
"SRX2370685","DNase-Seq","Neural"
"SRX2370686","DNase-Seq","Placenta"
"SRX2370698","DNase-Seq","Others"
"SRX2370706","DNase-Seq","Placenta"
"SRX2370708","DNase-Seq","Digestive tract"
"SRX2370756","DNase-Seq","Others"
"SRX2370761","DNase-Seq","Neural"
"SRX2370762","DNase-Seq","Neural"
"SRX2370763","DNase-Seq","Adipocyte"
"SRX2370766","DNase-Seq","Others"
"SRX2370779","DNase-Seq","Neural"
"SRX2370783","DNase-Seq","Neural"
"SRX2370791","DNase-Seq","Neural"
"SRX2370798","DNase-Seq","Digestive tract"
"SRX2409189","H3K27ac","Others"
"SRX2409190","H3K27ac","Others"
"SRX2426299","H3K27ac","Neural"
"SRX2426300","H3K27ac","Neural"
"SRX2431535","POU5F1","Epidermis"
"SRX2431536","FOXA2","Epidermis"
"SRX2431537","FOXA2","Epidermis"
"SRX2431538","GATA4","Epidermis"
"SRX2431539","GATA4","Epidermis"
"SRX2431540","FOXA2","Epidermis"
"SRX2431541","FOXA2","Epidermis"
"SRX2431542","FOXA2","Epidermis"
"SRX2431543","FOXA2","Epidermis"
"SRX2452425","BRD4","Cardiovascular"
"SRX2452426","BRD4","Cardiovascular"
"SRX2458133","NIPBL","Blood"
"SRX2458134","NIPBL","Blood"
"SRX2458135","SMC1A","Blood"
"SRX2458136","SMC1A","Blood"
"SRX2458137","MED1","Blood"
"SRX2458138","MED1","Blood"
"SRX246953","ERCC3","Bone"
"SRX246954","ERCC2","Bone"
"SRX2469628","DNase-Seq","Muscle"
"SRX2469629","DNase-Seq","Muscle"
"SRX2481499","GATA1","Blood"
"SRX2481500","TAL1","Blood"
"SRX2481501","H3K27ac","Blood"
"SRX253212","ZFX","Neural"
"SRX2537097","FLI1","Bone"
"SRX2537098","FLI1","Bone"
"SRX2537507","H3K27ac","Epidermis"
"SRX2537509","H3K27ac","Epidermis"
"SRX2542929","H3K27me3","Blood"
"SRX2542931","H3K27me3","Blood"
"SRX2547030","H3K4me3","Lung"
"SRX2547032","H3K27me3","Lung"
"SRX2582161","GRHL3","Epidermis"
"SRX2631834","H3K27ac","Digestive tract"
"SRX263240","H3K27ac","Neural"
"SRX263244","H3K27ac","Neural"
"SRX263248","H3K27ac","Neural"
"SRX263260","H3K27ac","Neural"
"SRX263261","H3K27ac","Neural"
"SRX263263","H3K27ac","Neural"
"SRX263265","H3K27ac","Neural"
"SRX263266","H3K27ac","Neural"
"SRX263267","H3K27ac","Neural"
"SRX263272","H3K27ac","Neural"
"SRX263275","H3K27ac","Neural"
"SRX263282","H3K27ac","Neural"
"SRX263292","H3K27ac","Neural"
"SRX263293","H3K27ac","Neural"
"SRX263295","H3K27ac","Neural"
"SRX263296","H3K27ac","Neural"
"SRX263297","H3K27ac","Neural"
"SRX263298","H3K27ac","Neural"
"SRX263299","H3K27ac","Neural"
"SRX263309","H3K27ac","Neural"
"SRX263385","H3K27ac","Neural"
"SRX2661479","STAT3","Blood"
"SRX2661481","STAT3","Blood"
"SRX2671795","H3K27ac","Cardiovascular"
"SRX2671796","H3K27me3","Cardiovascular"
"SRX2671798","H3K4me3","Cardiovascular"
"SRX2671799","EP300","Cardiovascular"
"SRX2671836","EP300","Cardiovascular"
"SRX2671837","H3K27ac","Cardiovascular"
"SRX2671838","H3K27me3","Cardiovascular"
"SRX2671840","H3K4me3","Cardiovascular"
"SRX268881","TRF2","Lung"
"SRX268882","NR2F2","Lung"
"SRX268883","NR2C2","Lung"
"SRX268884","HMBOX1","Lung"
"SRX2708746","Biotin","Pluripotent stem cell"
"SRX2708747","Biotin","Pluripotent stem cell"
"SRX2708748","Biotin","Pluripotent stem cell"
"SRX2708749","Biotin","Pluripotent stem cell"
"SRX2708750","Biotin","Pluripotent stem cell"
"SRX2708751","Biotin","Pluripotent stem cell"
"SRX2708752","Biotin","Pluripotent stem cell"
"SRX2708753","Biotin","Pluripotent stem cell"
"SRX2708754","Biotin","Pluripotent stem cell"
"SRX2708755","Biotin","Pluripotent stem cell"
"SRX2708756","Biotin","Pluripotent stem cell"
"SRX2708757","Biotin","Pluripotent stem cell"
"SRX2749148","H3K27ac","Kidney"
"SRX2749149","H3K27ac","Kidney"
"SRX2749150","ARNT","Kidney"
"SRX2749155","ARNT","Kidney"
"SRX2755182","EBV-ZEBRA","Blood"
"SRX2755183","EBNA1","Blood"
"SRX2778364","H3K27ac","Blood"
"SRX2778365","H3K27ac","Blood"
"SRX2837383","RELB","Blood"
"SRX2837384","RELB","Blood"
"SRX2837385","REL","Blood"
"SRX2837386","REL","Blood"
"SRX2837387","NFKB1","Blood"
"SRX2837388","NFKB1","Blood"
"SRX2837389","NFKB2","Blood"
"SRX2837390","NFKB2","Blood"
"SRX2858197","H3K27me3","Lung"
"SRX2935864","DNase-Seq","Breast"
"SRX2935865","DNase-Seq","Breast"
"SRX2935880","H3K27ac","Breast"
"SRX2935881","H3K27ac","Breast"
"SRX2935887","H3K27me3","Breast"
"SRX2935888","H3K27me3","Breast"
"SRX2935902","H3K4me3","Breast"
"SRX2935903","H3K4me3","Breast"
"SRX2941475","PBXIP1","Bone"
"SRX2941476","PBXIP1","Bone"
"SRX295034","MECP2","Lung"
"SRX295035","MECP2","Lung"
"SRX2954066","H3K4me3","Epidermis"
"SRX2954067","H3K4me3","Epidermis"
"SRX2963102","RUNX1","Blood"
"SRX2963103","TET2","Blood"
"SRX2966968","POU5F1","Gonad"
"SRX2966969","POU5F1","Gonad"
"SRX2966972","PAX5","Gonad"
"SRX2966973","PRDM1","Gonad"
"SRX3040147","STAG1","Breast"
"SRX3040148","STAG2","Breast"
"SRX3040149","SMC1A","Breast"
"SRX3040151","STAG1","Breast"
"SRX3040152","STAG2","Breast"
"SRX3040153","SMC1A","Breast"
"SRX3040154","ZMYM2","Breast"
"SRX306543","H3K4me3","Blood"
"SRX306544","H3K4me3","Blood"
"SRX306547","H3K4me3","Blood"
"SRX306549","H3K4me3","Blood"
"SRX306551","H3K4me3","Blood"
"SRX306552","H3K4me3","Blood"
"SRX306553","H3K27ac","Blood"
"SRX306554","H3K27ac","Blood"
"SRX306557","H3K27ac","Blood"
"SRX306559","H3K27ac","Blood"
"SRX306561","H3K27ac","Blood"
"SRX306562","H3K27ac","Blood"
"SRX306563","H3K27me3","Blood"
"SRX306564","H3K27me3","Blood"
"SRX306567","H3K27me3","Blood"
"SRX306569","H3K27me3","Blood"
"SRX306571","H3K27me3","Blood"
"SRX306572","H3K27me3","Blood"
"SRX3089967","NCOA4","Blood"
"SRX3089968","NCOA4","Blood"
"SRX3100755","RBPJ","Epidermis"
"SRX3102568","TP53","Digestive tract"
"SRX3102569","TP53","Digestive tract"
"SRX3102570","RELA","Digestive tract"
"SRX3102571","RELA","Digestive tract"
"SRX3130879","H3K27ac","Placenta"
"SRX3205774","H3K27ac","Blood"
"SRX3205776","H3K27ac","Blood"
"SRX3205777","H3K27ac","Blood"
"SRX3205778","H3K27ac","Blood"
"SRX3205779","H3K27ac","Blood"
"SRX323567","ASCL1","Epidermis"
"SRX326378","NUP98","Lung"
"SRX326379","NUP98","Lung"
"SRX327761","BRD4","Blood"
"SRX329081","BCL10","Lung"
"SRX329082","BCL10","Lung"
"SRX3330448","Epitope tags","Epidermis"
"SRX3330449","Epitope tags","Epidermis"
