"id_data_tfs","V2"
"Hepatocyte.2","CAGE tags"
"immature.1","CAGE tags"
"immature.2","CAGE tags"
"Intestinal.1","CAGE tags"
"Intestinal.2","CAGE tags"
"IrisPigment.1","CAGE tags"
"Keratinocyte.1","CAGE tags"
"Keratinocyte.2","CAGE tags"
"LensEpitheli.1","CAGE tags"
"LensEpitheli.2","CAGE tags"
"Macrophage.1","CAGE tags"
"Macrophage.2","CAGE tags"
"Mallassezderiv.1","CAGE tags"
"Mallassezderiv.2","CAGE tags"
"Mallassezderiv.3","CAGE tags"
"MammaryEpith.1","CAGE tags"
"MammaryEpith.2","CAGE tags"
"MammaryEpith.3","CAGE tags"
"Mastcell.1","CAGE tags"
"Mastcell.2","CAGE tags"
"matureadipoc.1","CAGE tags"
"matureadipoc.2","CAGE tags"
"matureadipoc.3","CAGE tags"
"matureadipoc.4","CAGE tags"
"Melanocyte.1","CAGE tags"
"Melanocyte.2","CAGE tags"
"Meningeal.1","CAGE tags"
"Meningeal.2","CAGE tags"
"mesenchymal.1","CAGE tags"
"mesenchymal.2","CAGE tags"
"mesenchymal.3","CAGE tags"
"mesenchymal.4","CAGE tags"
"mesenchymal.5","CAGE tags"
"mesenchymal.6","CAGE tags"
"mesenchymal.7","CAGE tags"
"mesenchymal.8","CAGE tags"
"Mesothelial.1","CAGE tags"
"Mesothelial.2","CAGE tags"
"migratorylan.1","CAGE tags"
"migratorylan.2","CAGE tags"
"Myoblast.1","CAGE tags"
"Myoblast.2","CAGE tags"
"nasalepithel.1","CAGE tags"
"nasalepithel.2","CAGE tags"
"NaturalKille.1","CAGE tags"
"NaturalKille.2","CAGE tags"
"Neuralstem.1","CAGE tags"
"Neuralstem.2","CAGE tags"
"Neurons.1","CAGE tags"
"Neurons.2","CAGE tags"
"neutrophil.1","CAGE tags"
"neutrophil.2","CAGE tags"
"neutrophil.3","CAGE tags"
"neutrophil.4","CAGE tags"
"neutrophil.5","CAGE tags"
"NucleusPulpo.1","CAGE tags"
"NucleusPulpo.2","CAGE tags"
"Olfactoryepi.1","CAGE tags"
"Olfactoryepi.2","CAGE tags"
"Oligodendrocyte","CAGE tags"
"Osteoblast.1","CAGE tags"
"Osteoblast.2","CAGE tags"
"Pancreatic.1","CAGE tags"
"Pancreatic.2","CAGE tags"
"Pericytes.1","CAGE tags"
"Pericytes.2","CAGE tags"
"Perineurial.1","CAGE tags"
"Perineurial.2","CAGE tags"
"Peripheral.1","CAGE tags"
"Peripheral.2","CAGE tags"
"PlacentalEpi.1","CAGE tags"
"PlacentalEpi.2","CAGE tags"
"PlacentalEpi.3","CAGE tags"
"PlacentalEpi.4","CAGE tags"
"Preadipocyte.1","CAGE tags"
"Preadipocyte.2","CAGE tags"
"Preadipocyte.3","CAGE tags"
"Preadipocyte.4","CAGE tags"
"Preadipocyte.5","CAGE tags"
"promyelocytes.1","CAGE tags"
"promyelocytes.2","CAGE tags"
"promyelocytes.3","CAGE tags"
"ProstateEpit.1","CAGE tags"
"ProstateEpit.2","CAGE tags"
"RenalCortica.1","CAGE tags"
"RenalCortica.2","CAGE tags"
"RenalEpithel.1","CAGE tags"
"RenalEpithel.2","CAGE tags"
"RenalGlomeru.1","CAGE tags"
"RenalGlomeru.2","CAGE tags"
"RenalMesangi.1","CAGE tags"
"RenalMesangi.2","CAGE tags"
"RenalProxima.1","CAGE tags"
"RenalProxima.2","CAGE tags"
"RetinalPigme.1","CAGE tags"
"RetinalPigme.2","CAGE tags"
"salivaryacin.1","CAGE tags"
"salivaryacin0.2","CAGE tags"
"SchwannCells.1","CAGE tags"
"SchwannCells.2","CAGE tags"
"Sebocyte.1","CAGE tags"
"Sebocyte.2","CAGE tags"
"SertoliCells.1","CAGE tags"
"SertoliCells.2","CAGE tags"
"Skeletalmusc.1","CAGE tags"
"Skeletalmusc.2","CAGE tags"
"Skeletalmusc.3","CAGE tags"
"SmallAirway.1","CAGE tags"
"SmallAirway.2","CAGE tags"
"SmallAirway.3","CAGE tags"
"Smoothmuscle.1","CAGE tags"
"Smoothmuscle.2","CAGE tags"
"Smoothmuscle.3","CAGE tags"
"Smoothmuscle.4","CAGE tags"
"Smoothmuscle.5","CAGE tags"
"Smoothmuscle.6","CAGE tags"
"Smoothmuscle.7","CAGE tags"
"Smoothmuscle.8","CAGE tags"
"Smoothmuscle.9","CAGE tags"
"Smoothmuscle.10","CAGE tags"
"Smoothmuscle.11","CAGE tags"
"Smoothmuscle.12","CAGE tags"
"Smoothmuscle.13","CAGE tags"
"Smoothmuscle.14","CAGE tags"
"Smoothmuscle.15","CAGE tags"
"Smoothmuscle.16","CAGE tags"
"Smoothmuscle.17","CAGE tags"
"Smoothmuscle.18","CAGE tags"
"Smoothmuscle.19","CAGE tags"
"Smoothmuscle.20","CAGE tags"
"Smoothmuscle.21","CAGE tags"
"Smoothmuscle.22","CAGE tags"
"Smoothmuscle.23","CAGE tags"
"Smoothmuscle.24","CAGE tags"
"Smoothmuscle.25","CAGE tags"
"Smoothmuscle.26","CAGE tags"
"Smoothmuscle.27","CAGE tags"
"Smoothmuscle.28","CAGE tags"
"Smoothmuscle.29","CAGE tags"
"Smoothmuscle.30","CAGE tags"
"Smoothmuscle.31","CAGE tags"
"Smoothmuscle.32","CAGE tags"
"Smoothmuscle.33","CAGE tags"
"Smoothmuscle.34","CAGE tags"
"Smoothmuscle.35","CAGE tags"
"Smoothmuscle.36","CAGE tags"
"tenocyte.1","CAGE tags"
"tenocyte.2","CAGE tags"
"Wholeblood.1","CAGE tags"
"SRX012425","DNase hypersensitivity regions"
"SRX012426","DNase hypersensitivity regions"
"SRX100896","DNase hypersensitivity regions"
"SRX018822","DNase hypersensitivity regions"
"SRX018823","DNase hypersensitivity regions"
