"HGNC","ENTREZ_ID","RANK","ew136.BCSCORE","ew136.PVAL"
"RACK1",10399,1,-4.625370342,1.86964831607579e-06
"XPO1",7514,2,-4.500575267,3.38849009762779e-06
"ASH2L",9070,3,-4.438177729,4.5361846945478e-06
"ATP6V1B2",526,4,-4.282183884,9.25339711620856e-06
"DARS1",1615,5.5,-4.2665845,9.92441677879171e-06
"DCLRE1B",64858,5.5,-4.2665845,9.92441677879171e-06
"RPL23A",6147,7,-4.250985115,1.0641615706517e-05
"IPO4",79711,8,-4.141789424,1.72303330962007e-05
"TARS1",6897,9,-4.016994348,2.94725686463566e-05
"COG4",25839,10.5,-3.923398042,4.36543620095391e-05
"TEX10",54881,10.5,-3.923398042,4.36543620095391e-05
"TRMT112",51504,12.5,-3.892199273,4.96697983955185e-05
"TXNL4A",10907,12.5,-3.892199273,4.96697983955185e-05
"CLP1",10978,14.5,-3.876599888,5.2963167308401e-05
"HSPA5",3309,14.5,-3.876599888,5.2963167308401e-05
"ANAPC4",29945,16.5,-3.861000504,5.64618352516974e-05
"RNF168",165918,16.5,-3.861000504,5.64618352516974e-05
"ATP5F1D",513,18.5,-3.845401119,6.01776961337258e-05
"RUVBL2",10856,18.5,-3.845401119,6.01776961337258e-05
"NMT1",4836,20,-3.767404197,8.2476905365301e-05
"PNKP",11284,21,-3.736205428,9.34090330556604e-05
"SF3B3",23450,22,-3.720606044,9.9372632943614e-05
"FDPS",2224,23,-3.705006659,0.000105692589652587
"FARSB",10056,25,-3.689407275,0.000112388566969933
"HARS1",3035,25,-3.689407275,0.000112388566969933
"RPL8",6132,25,-3.689407275,0.000112388566969933
"CCT3",7203,27,-3.67380789,0.000119481211926273
"AQR",9716,28.5,-3.658208506,0.000126992194113481
"MCL1",4170,28.5,-3.658208506,0.000126992194113481
"CENPM",79019,31.5,-3.627009737,0.00014336124284413
"EIF3G",8666,31.5,-3.627009737,0.00014336124284413
"MCM4",4173,31.5,-3.627009737,0.00014336124284413
