"HGNC","ENTREZ_ID","RANK","ew1351.BCSCORE","ew1351.PVAL"
"RPL7A",6130,1,-6.3206649492,0.000000000130220080798098
"ALYREF",10189,2,-6.1927753973,0.000000000295569687361861
"THAP7",80764,3,-6.03543887,0.000000000792656178174602
"ILF2",3608,4,-5.7491760693,0.00000000448396957871665
"CTC1",80169,5,-5.7032641185,0.00000000587673237761581
"TAF10",6881,6,-5.6981009391,0.00000000605746599058322
"SF3B4",10262,7,-5.6760233681,0.00000000689309770775334
"UTP3",57050,8,-5.6119253821,0.0000000100043860226064
"WDR55",54853,9,-5.5846693108,0.0000000117072656042256
"HMGCS1",3157,10,-5.5293298337,0.0000000160728223232918
"ZNF830",91603,11,-5.4786070867,0.0000000214343555599411
"WDR48",57599,12,-5.4408152696,0.0000000265186446132882
"CUL2",8453,13,-5.4148512698,0.0000000306698355541655
"PCF11",51585,14,-5.4078444626,0.000000031893890592793
"POLR1E",64425,15,-5.2539858039,0.0000000744211791329526
"EIF4A1",1973,16,-5.2268012306,0.0000000862338671512096
"SETDB1",9869,17,-5.1771254191,0.000000112665372979296
"MED15",51586,18,-5.1672280486,0.000000118795651356649
"CDIPT",10423,19,-5.1601599574,0.000000123369468074904
"SDE2",163859,20.5,-5.0905413019,0.000000178521394451146
"XPO5",57510,20.5,-5.0905413019,0.000000178521394451146
"SON",6651,22,-5.0706699559,0.00000019820886142114
"NOP10",55505,23,-5.0447212771,0.000000227091473058528
"CCDC116",164592,24,-5.0132366078,0.000000267610075892081
"RPTOR",57521,25,-4.9939883161,0.000000295724887025133
"TSFM",10102,26,-4.98486721,0.000000310021908538591
"MED31",51003,27,-4.9534336107,0.000000364576215139881
"CDC23",8697,28.5,-4.8545135294,0.000000603413154802325
"RAD51",5888,28.5,-4.8545135294,0.000000603413154802325
"ALG11",440138,30,-4.7658380947,0.000000940351196484791
"DDX6",1656,31,-4.7550980689,0.00000099175054234701
"GNL2",29889,32,-4.6960304801,0.00000132632987736187
"MRE11",4361,33,-4.6885691497,0.00000137560975012636
"PNPT1",87178,34,-4.6663281546,0.00000153314930481401
"MRPS2",51116,35,-4.6055139711,0.00000205724179633424
"CDC7",8317,36,-4.519261809,0.00000310278094144032
"CENPW",387103,37,-4.4851674616,0.00000364283455334389
"MRPS11",64963,38,-4.4733498582,0.00000385018163571341
"MAT2A",4144,39,-4.4440101299,0.00000441487221999967
"REXO2",25996,40,-4.4182759452,0.00000497456728340161
"SRPRB",58477,41,-4.4069077581,0.00000524284076380331
"ANAPC15",25906,42,-4.3954323239,0.00000552762520492079
"TWISTNB",221830,43,-4.3813267835,0.00000589794001572645
"CMIP",80790,44,-4.3769858315,0.00000601658966094455
"SMC3",9126,45,-4.3734415719,0.00000611514944743603
"EIF4E",1977,46,-4.3512618609,0.00000676781397916258
"IARS2",55699,47,-4.3403150014,0.00000711393046940823
"TARS2",80222,48,-4.3288574417,0.00000749424560558867
"ESPL1",9700,49,-4.3179795268,0.00000787320161702327
"RBM22",55696,50,-4.3110135756,0.00000812539635540287
"BCAS2",10286,51,-4.3012694152,0.00000849112158382558
"SLC7A5",8140,52,-4.2840741384,0.00000917508604662747
"FCF1",51077,53.5,-4.2617412173,0.0000101420125566045
"NIPBL",25836,53.5,-4.2617412173,0.0000101420125566045
"PSMB6",5694,55,-4.2333973545,0.0000115093634624683
"PDRG1",81572,56,-4.2185257637,0.000012295243817096
"SLC7A4",6545,57,-4.2123309699,0.000012637441951944
"PSMD8",5714,58,-4.2093433736,0.0000128056955838583
"EEF1A1",1915,59,-4.201407092,0.0000132630553158675
"AATF",26574,60,-4.188246347,0.0000140559137832592
"LYRM4",57128,61,-4.1876845768,0.000014090740418611
"PPCDC",60490,62,-4.1455518077,0.0000169498169753931
"BORA",79866,63,-4.139632792,0.0000173931096881653
"YEATS4",8089,64,-4.1184285184,0.0000190732428523703
"CUL3",8452,65,-4.1170904838,0.0000191842731795072
"BUD13",84811,66,-4.113255125,0.000019505941571401
"SRSF11",9295,67,-4.1097159724,0.0000198073031906708
"NAA20",51126,68,-4.1002884462,0.0000206317749457747
"TSR2",90121,69,-4.0937719112,0.0000212205914550101
"DDX39B",7919,70,-4.0716841262,0.0000233372230027144
"NFS1",9054,71,-4.0548054836,0.0000250880193569821
"FKBPL",63943,72,-4.02918876,0.0000279848321736056
"UTP14A",10813,73,-4.0247099189,0.0000285227945265169
"GAB2",9846,74,-4.0175958647,0.0000293974595791037
"C18orf21",83608,75,-4.0080866264,0.0000306063343629766
"TRMT10C",54931,76,-3.991718684,0.0000327980798167196
"BRIX1",55299,77,-3.9786447581,0.0000346546037981994
"CAD",790,78,-3.9722099351,0.0000356044599999825
"PNISR",25957,79,-3.958798947,0.0000376638065725512
"SUMO2",6613,80,-3.9467617426,0.0000396076575170149
"C1orf109",54955,81,-3.9439171423,0.0000400806823287484
"WDR5",11091,82,-3.9064062103,0.0000468394900765623
"ATP6V1C1",528,83,-3.8691072189,0.0000546173007268364
"RPL31",6160,84,-3.8629200856,0.000056019833985201
"LAMC3",10319,85,-3.8520779197,0.0000585598699367137
"SUPT16H",11198,86,-3.8431406656,0.0000607348999128052
"POLD3",10714,87,-3.8302914478,0.0000639957861731489
"SEC61A1",29927,88,-3.8249597374,0.0000653967299883331
"GTF2H3",2967,89,-3.806472389,0.0000704815108204861
"NAA30",122830,90,-3.8023510382,0.0000716647231014475
"HAUS4",54930,91,-3.7908347479,0.0000750709140877876
"XRCC2",7516,92,-3.7863712279,0.0000764316276269163
"NDUFB10",4716,93,-3.7824184081,0.0000776560051212844
"MIS18BP1",55320,94,-3.7728989558,0.0000806808251950732
"WNK1",65125,95,-3.7603459441,0.0000848392718394275
"CBFA2T3",863,96,-3.7458114156,0.0000899058173663806
"COX18",285521,97,-3.7374359318,0.0000929532202894441
"CHTF18",63922,98,-3.7134483419,0.000102227106754149
"LIPT2",387787,99,-3.7050320021,0.000105682022618853
"CUL1",8454,100,-3.6932910038,0.000110685226731373
"GPN2",54707,101,-3.689404575,0.000112389759659001
"ATP6AP1",537,102,-3.6869583209,0.000113475255205259
"DNAAF2",55172,103,-3.6704831314,0.000121046223532512
"PRORP",9692,104,-3.6619084745,0.000125171652500044
"MRPS35",60488,105,-3.652026425,0.000130089552239359
"NSMCE2",286053,106,-3.6406786659,0.000135960168207699
"SLC16A1",6566,107,-3.6201893726,0.000147193738858939
"FAM78A",286336,108,-3.6176511925,0.000148644336032256
"TMED2",10959,109,-3.6028459928,0.000157376014785586
"PPP1R8",5511,110,-3.5931120464,0.000163375998750997
"CDK12",51755,111,-3.570258211,0.000178314754833451
"EMC7",56851,112,-3.5594620081,0.000185807642769215
"SNRPB",6628,113,-3.5546461049,0.00018924407858507
"SCD",6319,114,-3.5488854063,0.000193432699602476
"EIF2B4",8890,115,-3.5470979555,0.000194749870629395
"RAD1",5810,116,-3.5462042301,0.000195411594737045
"MRPS23",51649,117,-3.54376819,0.000197225949318988
"MRPL17",63875,118,-3.5225230604,0.00021372992591639
"RNF113A",7737,119,-3.5082489889,0.000225533335354078
"BECN1",8678,120,-3.506150011,0.000227319454454768
"FBL",2091,121,-3.5031011306,0.000229937414383149
"OXA1L",5018,122,-3.4956193722,0.000236481421810169
"CCNC",892,123,-3.4931884391,0.00023864478783527
"WDR7",23335,124,-3.4806813904,0.000250070020550174
"MYB",4602,125,-3.4784394164,0.000252171214013953
"LAGE3",8270,126,-3.477535477,0.000253023039013903
"DUT",1854,127,-3.4757990962,0.000254666843518003
"SCO1",6341,128,-3.4692672402,0.000260940028717239
"RPL5",6125,129,-3.4612747816,0.000268811876930578
"SLC25A26",115286,130,-3.4524805236,0.000277728787048924
"HAUS2",55142,131,-3.4473633073,0.000283043391719488
"HCCS",3052,132,-3.4440743978,0.000286509001124828
"CCDC115",84317,133,-3.4382524152,0.000292740831681542
"EIF5",1983,134,-3.4376600029,0.000293381971976265
"MED9",55090,135,-3.4366283884,0.000294501561548983
"MRPS7",51081,136,-3.420153199,0.000312929395254252
"MRPL3",11222,137,-3.4131259638,0.00032111125137954
"POLE",5426,138,-3.406910742,0.000328513047434334
"BCS1L",617,139,-3.4033205194,0.000332860675451031
"NCAPD2",9918,140,-3.3950880316,0.000343032686672782
"QRSL1",55278,141,-3.3886174597,0.000351229676923439
"EIF3E",3646,142,-3.3812940184,0.000360726504264338
"YAE1",57002,143,-3.3755486408,0.000368343342579807
"INTS2",57508,144,-3.3697164441,0.000376227852287147
"CARS1",833,145,-3.3682047714,0.000378296896419929
"SMCHD1",23347,146,-3.3620661547,0.000386807935506755
"HSD17B12",51144,147,-3.3564944151,0.000394686575931727
"PGS1",9489,148,-3.3557538998,0.000395744833038939
"TRAPPC4",51399,149,-3.3529807976,0.000399731264647248
"PPM1F",9647,150,-3.3397740896,0.000419232830126217
"LSM3",27258,151,-3.3331911636,0.000429279650552772
"PIK3C3",5289,152,-3.3311126136,0.000432498007599461
"DCLRE1B",64858,153,-3.3238606704,0.000443902696760428
"KTI12",112970,154,-3.3177169466,0.000453782023853663
"TUBE1",51175,155,-3.3089482236,0.00046823576796764
"RPA3",6119,156,-3.3073701599,0.000470881790940487
"USP8",9101,157,-3.3007770199,0.000482087386737503
"SLC25A35",399512,158,-3.2958742977,0.000490579527893408
"RNPC3",55599,159,-3.2937651057,0.000494275357590458
"PPP1CB",5500,160,-3.2917989098,0.000497743823227432
"UBA2",10054,161,-3.289929747,0.000501061997762417
"ACTR6",64431,162,-3.2783777077,0.000522027960248268
"MRPL15",29088,163,-3.2741235748,0.000529951245394822
"SMARCB1",6598,164,-3.2720143829,0.000533920717696561
"ELP4",26610,165,-3.2676938589,0.000542137905131003
"RPUSD3",285367,166,-3.2640883153,0.00054908464339623
"CEP44",80817,167,-3.2616880242,0.000553754785400573
"PPIH",10465,168,-3.2609321878,0.000555232970192484
"NCAPH",23397,169,-3.2592315561,0.000558572235351106
"LIG3",3980,170,-3.2553808763,0.000566201950367249
"UBE3D",90025,171,-3.2380936735,0.000601656464690486
"CCND3",896,172,-3.2350141511,0.000608183510227144
"PARS2",25973,173,-3.2315975666,0.000615501453563516
"CARS2",79587,174,-3.2245294754,0.000630899332441615
"ZNF335",63925,175,-3.221434632,0.000637752775348273
"COQ6",51004,176,-3.2191977649,0.00064274897103994
"SRSF10",10772,177,-3.2157301104,0.000650565673342495
"ZFAND4",93550,178,-3.2091727194,0.000665587499300382
"MRPS30",10884,179,-3.207280575,0.000669981191015978
"MTCH2",23788,180,-3.1988744492,0.000689826188044361
"MED20",9477,181,-3.192860954,0.000704353806935574
"POLG",5428,182,-3.1816561909,0.000732177697253767
"CYP4F12",66002,183,-3.1772897039,0.000743292287327151
"VPS51",738,184,-3.1715494333,0.000758140296015489
"PSMD2",5708,185,-3.1705842099,0.000760663650098674
"MTHFD1",4522,186,-3.1694657764,0.00076359721107208
"RPIA",22934,187,-3.1651043964,0.000775136585098184
"GATA1",2623,188,-3.1627398544,0.000781459634440899
"UBR4",23352,189,-3.1582967623,0.000793469599223852
"COPE",11316,190,-3.1516065893,0.000811874429381984
"SOS1",6654,191,-3.1496965704,0.0008172005788518
"EFR3A",23167,192,-3.1426999773,0.000836986614869753
"NEDD1",121441,193,-3.1363060104,0.000855452909933352
"COX7B",1349,194,-3.1227673472,0.000895796540500272
