"Gene_symbol","Wilcox_P","Mean_fc","Adjust_P","Adjust_P_rank","Mean_fc_rank","sgRNA_number","Screen_score"
"OSGEPL1-AS1",0.00518180514745149,1.0166068381631,0.005,4986,5099,6,-0.462119943421379
"OSMR-AS1",0.000183525045483058,1.15179954102427,0.001,2438,8580,19,0.7615707423041
"OSTM1-AS1",0.0280026666757196,1.03026566033852,0.024,6946.5,5462,5,-1.00943578119029
"OSTN-AS1",0.0203099715264019,1.06169206161188,0.017,6593.5,6302,6,-0.72522255284149
"OTUD6B-AS1",0.0843259040822345,1.20098630032681,0.077,8607,9523,4,-0.709985381828218
"OTX2-AS1",0.0105708346442676,1.29512837158853,0.013,5822,10539,16,0.363530803011719
"OVAAL",0.00216496098522972,1.10152017876509,0.003,4303,7341,8,0.131481078591423
"OVCH1-AS1",0.000342558385235712,0.984343398198772,0.001,2438,4297,7,0.139315324213529
"OVOL1-AS1",2.2e-06,0.873519897677024,0,587,2162,17,1.67745014291624
"OXCT1-AS1",0.00145291771704851,0.633785664891701,0.002,3860.5,334,17,2.06251404817286
"P4HA2-AS1",0.00413099219071278,0.981594111724296,0.004,4765.5,4234,5,-0.366482470735396
"PABPC1L2B-AS1",1.52e-05,1.18301106989924,0.001,2438,9236,17,0.893882915128969
"PABPC5-AS1",0.037245906106382,1.23016060957885,0.038,7383,9937,9,-0.312808902413771
"PAIP2",0.00766241060000306,0.911451091960621,0.01,5536,2750,5,-0.355677017768618
"PAPPA-AS2",0.278692358987699,0.90256626753903,0.295,10785.5,2607,4,-1.64010203620975
"PART1",0.383903199704054,1.28028941367447,0.423,11563.5,10423,12,-1.06597643133377
"PAX8-AS1",1.81e-14,0.999162161823204,0,587,4652,85,1.01244370850612
"PAXBP1-AS1",0.0245128352750791,0.793748835219831,0.022,6777.5,1171,10,0.0192758553120636
"PCA3",1.11e-06,1.03650921196352,0,587,5632,20,1.18673228169213
"PCAT1",0.00162636927312547,1.06350752432021,0.002,3860.5,6352,20,0.111516803131798
"PCAT18",0.0256674539159478,0.722660776002749,0.023,6875.5,680,8,0.466086553715409
"PCAT19",4.98e-06,1.11664282615789,0.001,2438,7703,22,0.608170951493975
"PCAT2",0.0125916987370208,1.0787085318652,0.014,5944,6739,6,-0.570348736663822
"PCAT4",0.0102668887788758,1.18719167049776,0.012,5744,9318,9,-0.0357305621362067
"PCAT6",0.00128097231772705,1.03500788854585,0.002,3860.5,5594,13,-0.0229020560329148
"PCAT7",0.00246133404071183,0.529385886030452,0.003,4303,173,8,2.79932443649667
"PCBP1-AS1",2.48e-18,0.972539297926101,0,587,4017,111,1.14608593524451
"PCCA-AS1",5.45e-07,0.951911258365232,0,587,3540,18,1.25217495733854
"PCDH9-AS2",3.29e-05,0.972341828041103,0.001,2438,4011,15,0.200020526257781
"PCDH9-AS3",3.28e-05,1.06855870581931,0.001,2438,6481,8,0.390355703758553
"PCDH9-AS4",0.0329747353384402,0.98073909412183,0.031,7184.5,4211,5,-1.16244432904039
"PCED1B-AS1",0.227298955617218,1.10348873443255,0.236,10358,7402,13,-1.57098247371682
"PCGEM1",4.96e-05,1.05188264961974,0.001,2438,6044,11,0.312519288628822
"PCOLCE-AS1",1.08e-21,0.719525345633491,0,587,659,79,0
"PCYT1B-AS1",0.192938422825994,0.998153278944241,0.208,10074,4628,3,-2.00028224243884
"PDCD4-AS1",0.159636102307525,1.13315411141101,0.166,9699.5,8115,4,-1.30081236529768
"PDX1-AS1",0.226498213752482,1.24519222364141,0.236,10358,10119,5,-0.973128681860924
"PDXDC2P",5.96e-23,0.692196453172947,0,587,520,78,2.82874233726477
"PDZK1P2",5.33e-22,0.578213783831558,0,587,249,41,3.71905649460171
"PDZRN3-AS1",0.00501393500540285,1.29607116720951,0.004,4765.5,10543,19,0.825926199334186
"PEX5L-AS2",0.21200947881046,1.04380950779596,0.227,10246.5,5808,4,-1.83077000290943
"PGM5P2",6.68e-10,0.530407432329953,0,587,176,22,4.14606953563054
"PHEX-AS1",0.00515318967151558,1.14461705138151,0.005,4986,8395,13,0.124775818430687
"PHKA1-AS1",0.00325896136373833,1.1597199905515,0.003,4303,8762,16,0.386269763538487
"PHKA2-AS1",0.0790716487477201,1.19471207375632,0.072,8514,9428,17,-0.709424014831317
"PINK1-AS",0.00030334863660804,1.07015782046207,0.001,2438,6519,10,0.397755735708986
"PITPNA-AS1",0.0256245615502316,0.980136029561714,0.023,6875.5,4194,6,-1.04194951283971
"PITRM1-AS1",5.09e-10,0.974106098561559,0,587,4050,23,1.13812012203956
"PKN2-AS1",1.42e-05,0.959105495233077,0.001,2438,3709,12,0.267846242589075
"PKNOX2-AS1",0.129132129123098,1.15574139121912,0.133,9341,8666,9,-1.11566302744025
"PLAC4",4.26e-06,1.05318115892359,0.001,2438,6075,19,0.318624298157539
"PLCB1-IT1",0.212627381151453,1.16423272795514,0.228,10255.5,8850,7,-1.29219614602892
"PLCE1-AS1",0.0095775908384546,1.11990052056289,0.011,5690,7790,9,-0.290414115842697
"PLCH1-AS1",0.0285629123841657,0.90101458935035,0.025,6982,2572,3,-0.658232145922695
"PLCH1-AS2",0.0253603401756965,1.12575066721599,0.023,6875.5,7934,3,-0.554091559099215
"PLCXD2-AS1",0.022806467349141,1.02439636343391,0.018,6672.5,5297,3,-0.924630789988888
"PLS3-AS1",0.025254717671731,1.09117254059659,0.022,6777.5,7074,16,-0.690993911544025
"PLSCR5-AS1",0.210992622798917,0.980954691577056,0.226,10239.5,4221,3,-1.94703965648028
"POLR2J4",1.41e-08,0.886449596982047,0,587,2351,25,1.60474092110145
"POT1-AS1",3.47e-08,0.952287357451889,0,587,3549,47,1.25022020303829
"POU6F2-AS1",2.7e-06,1.12241270561374,0,587,7861,17,1.58074543813145
"POU6F2-AS2",0.106133207630915,1.01001925983613,0.106,8975,4931,8,-1.6930469069726
"PPIEL",3.66e-11,0.762110844674635,0,587,926,29,0
"PPP1R26-AS1",0.00336167706214663,0.963014717921255,0.003,4303,3812,9,-0.161496149211831
"PPP2R2B-IT1",0.159090614301649,1.22689113849688,0.166,9699.5,9890,6,-0.907506626135559
"PRC1-AS1",0.0355622593346154,1.14553390738226,0.035,7291.5,8414,6,-0.633122201636149
"PRICKLE2-AS1",0.0954455616371465,1.30868334570551,0.087,8798.5,10630,11,-0.333173387106782
"PRICKLE2-AS2",0.041159236359574,1.14446225970403,0.041,7534.5,8391,8,-0.700081048723582
"PRICKLE2-AS3",0.395047844190261,1.27057136327023,0.438,11637.5,10351,8,-1.11744206691547
"PRKAG2-AS1",0.00013003883542519,0.808228001851402,0.001,2438,1320,9,1.11480588865889
"PRKAR2A-AS1",0.403034514778827,1.34345963671103,0.447,11696.5,10873,12,-0.849432316814001
"PRKCQ-AS1",1.01e-13,1.08606440339264,0,587,6936,45,1.41783876970531
"PRKG1-AS1",1.38e-07,1.07130193558952,0,587,6547,32,1.35011371993799
"PRKX-AS1",0.0513528534467255,1.20673128091482,0.047,7811,9609,10,-0.49172222346289
"PRMT5-AS1",8.51e-06,0.862335751187657,0.001,2438,1986,15,0.794146417728867
