"Gene_symbol","Wilcox_P","Mean_fc","Adjust_P","Adjust_P_rank","Mean_fc_rank","sgRNA_number","Screen_score"
"neg_645",0.0277838435564437,1.51086000757922,0.124,7701.5,9357,10,-0.506745191193764
"neg_646",0.246671008765889,1.70941041716587,0.441,11494,10339,10,-0.60631683092723
"neg_647",0.263953795159422,1.68019634048914,0.426,11305.5,10219,10,-0.638283432793967
"neg_648",0.757239457127417,2.19848023545588,0.112,7417.5,11542,10,0.463972465972886
"neg_649",0.0993246619251371,1.65161975905974,0.326,10182.5,10086,10,-0.595060910955624
"neg_65",0.0677841012686976,1.90648317948923,0.256,9370,10948,10,-0.158402620562963
"neg_650",0.710663379160386,2.70013098465103,0.125,7709.5,11859,10,0.942626492443923
"neg_651",0.935204926931912,2.63861132339409,0.022,5083,11842,10,1.44315131449965
"neg_652",0.91102786440064,2.44650410729981,0.035,5505,11759,10,1.10516062489343
"neg_653",0.23897104687221,2.28560257411818,0.452,11587,11635,10,0.112156245175368
"neg_654",0.283027064371435,2.0266708541056,0.405,11091,11230,10,-0.153172973297643
"neg_655",0.39327693512971,1.70920448675268,0.312,10045,10336,10,-0.495230480943867
"neg_656",0.36709225339643,1.889537519888,0.336,10273.5,10900,10,-0.268255928935218
"neg_657",0.266706526135736,2.01632462715024,0.42,11259.5,11202,10,-0.17767855085745
"neg_658",0.697362971570157,2.04813372431586,0.129,7729,11277,10,0.241367507205964
"neg_659",0.982527094413031,2.49176306092884,0.00600000000000001,3338,11779,10,1.71443302405418
"neg_66",0.00865465163126089,1.24624043242393,0.054,6121.5,7150,10,-0.720913577346374
"neg_660",0.101455473198022,2.11864871852304,0.335,10264,11412,10,0.0188988763610984
"neg_661",0.00820068298100231,1.593802718736,0.052,6071.5,9843,10,-0.0936485853380056
"neg_662",0.223415249944317,1.83866467152599,0.47,11760.5,10775,10,-0.444541333506561
"neg_663",0.174687317964089,2.47212581017667,0.449,11571,11768,10,0.310477748070613
"neg_664",0.210622619532519,2.18009444899935,0.488,11908,11513,10,-0.030699868333004
"neg_665",0.0214681197463779,1.91480479900141,0.108,7337.5,10964,10,0.130198521327459
"neg_666",0.157737202952222,1.85138611322801,0.424,11294,10806,10,-0.394143008412275
"neg_667",0.202835038764781,1.61603697768227,0.498,11974,9927,10,-0.785913336946516
"neg_668",0.541857661354627,2.94076541820343,0.21,8806,11904,10,0.98917687942366
"neg_669",0.00525724197277985,1.95129953613379,0.038,5557,11047,10,0.513183570465778
"neg_67",0.161442390745416,1.99115528349808,0.429,11342,11135,10,-0.215915676957165
"neg_670",0.295905417347506,1.83840976320655,0.395,10988,10773,10,-0.388926169631837
"neg_671",0.602678231993435,2.03594659236735,0.176,8354.5,11251,10,0.126480217084149
"neg_672",0.757825760748115,2.00699398927326,0.109,7358.5,11178,10,0.244822183918615
"neg_673",0.193317385378857,2.02035785995346,0.48,11843.5,11213,10,-0.215666019076634
"neg_674",0.265910279694949,1.84400572389412,0.423,11291,10791,10,-0.403371589309497
"neg_675",0.346114830683572,1.74949608482356,0.349,10496,10464,10,-0.473038130214413
"neg_676",0.0280316049872462,1.71744867116861,0.131,7744,10360,10,-0.203925859133408
"neg_677",0.635069837686668,2.1403405172154,0.16,8142,11447,10,0.282194851325173
"neg_678",0.0459491723420747,1.53789014349244,0.199,8628,9520,10,-0.614607821665455
"neg_679",0.310142340516362,2.55283994952236,0.384,10870.5,11814,10,0.441159783199152
"neg_68",0.492159015120107,2.21060436953331,0.234,9133,11555,10,0.240634673224455
"neg_680",0.572906644702782,1.89178661625344,0.194,8533.5,10906,10,-0.0885039051942531
"neg_681",0.28873685585937,1.66455643363385,0.399,11038.5,10152,10,-0.640592292192771
"neg_682",0.287721925843611,2.48504351552545,0.401,11051,11777,10,0.359905554303006
"neg_683",0.00266305219609963,1.22813702006902,0.018,4833.5,6935,10,-0.404964167614461
"neg_684",0.605533689012746,2.06890928718,0.171,8306,11322,10,0.17591733300298
"neg_685",0.13739127302835,2.01467273087446,0.387,10910.5,11200,10,-0.15338718489139
"neg_686",0.24085458993355,1.52628382816833,0.448,11561,9451,10,-0.894743108894925
"neg_687",0.0661922829600892,1.66397430648038,0.252,9334.5,10149,10,-0.493554748179065
"neg_688",0.242026452235829,1.46221179947459,0.447,11554,9031,10,-1.00126593639217
"neg_689",0.26232233178925,2.27929007155263,0.429,11344,11628,10,0.122051658678766
"neg_69",0.0174401661459432,1.51272025221019,0.091,7043.5,9365,10,-0.404135144714246
"neg_690",0.0245097452271351,1.64195701639672,0.117,7540.5,10042,10,-0.279971891434531
"neg_691",0.214123428556234,1.5265052855394,0.483,11858.5,9453,10,-0.918595378189758
"neg_692",0.920542511781919,1.94236824486819,0.029,5372,11026,10,0.588476757123465
"neg_693",0.939747471048348,2.41268900112865,0.021,5043.5,11742,10,1.23421874819993
"neg_694",0.434689847611571,2.47288654605941,0.286,9685.5,11769,10,0.456428376226169
"neg_695",0.517577773227849,2.06508321394348,0.222,8967,11308,10,0.0872909954511658
"neg_696",0.0510348286503862,1.47106945194973,0.215,8877,9104,10,-0.75057883637578
"neg_697",0.514445693110281,2.61871845489277,0.224,8990,11831,10,0.678359849064429
"neg_698",0.00957755736915237,1.63422694657808,0.062,6274.5,10005,10,-0.0875475054842093
"neg_699",0.065701403456408,1.51752455881131,0.249,9312.5,9386,10,-0.720082356280992
"neg_7",0.452996578357507,1.93671968163399,0.271,9582.5,11009,10,-0.137380243692396
"neg_70",0.127408318067303,1.86669805983672,0.365,10681,10842,10,-0.325314423977761
"neg_700",0.698245897637702,2.17710651466337,0.128,7724.5,11508,10,0.396583291163173
"neg_701",0.0879230477702208,1.63842528682587,0.302,9903,10027,10,-0.590504557466261
"neg_702",0.0371136476912584,1.69692559254657,0.17,8258,10286,10,-0.317839714190497
"neg_703",0.0728120019161593,1.60845094296471,0.266,9497,9901,10,-0.595822420788398
"neg_704",0.154519155477811,1.72200987992668,0.417,11237.5,10376,10,-0.569939589755986
"neg_705",0.887043434942469,2.28201091721432,0.045,5725,11633,10,0.850389500440978
"neg_706",0.284414429676255,1.94456543482146,0.404,11070.5,11030,10,-0.255795712592622
"neg_707",0.0541559181952502,1.44328582518686,0.22,8954,8894,10,-0.805658190871584
"neg_708",0.853974576066499,2.15853734694197,0.0649999999999999,6323.5,11479,10,0.593105179964881
"neg_709",0.72533935926518,2.19427434917817,0.119,7605,11533,10,0.439680918086546
"neg_71",0.3147060187091,2.19055482991903,0.378,10824,11525,10,0.063490955289949
"neg_710",0.534949461054989,1.91733795831114,0.213,8830.5,10968,10,-0.0850234183053322
"neg_711",0.220933249426305,2.06006549304126,0.471,11774,11301,10,-0.160901540675304
"neg_712",0.0340037870158327,1.50287615809801,0.152,8060.5,9306,10,-0.585501030665935
"neg_713",0.0315508793941886,1.63252257118395,0.145,7959,9998,10,-0.363412224207723
"neg_714",0.555798358847814,2.12872588420325,0.204,8711,11431,10,0.190407814000882
"neg_715",0.53927915053115,2.14061150127566,0.212,8820,11448,10,0.19195216060456
"neg_716",0.0599775875286083,1.73300583504811,0.234,9140,10416,10,-0.368054940804973
"neg_717",0.309806883875325,1.94115275769346,0.385,10880,11022,10,-0.244681990700716
"neg_718",0.768001656302916,2.00088019585695,0.103,7239,11159,10,0.255405678077471
"neg_719",0.00514940659967898,1.67559717675944,0.037,5541.5,10204,10,0.140828758352232
"neg_72",0.201508305263053,2.00852152386056,0.493,11952.5,11182,10,-0.23896198100523
"neg_720",0.00232899598255095,1.4103968527598,0.016,4736,8638,10,-0.0212440939705292
"neg_721",0.523596641044737,1.97306807503715,0.216,8894.5,11096,10,-0.0178748336891449
"neg_722",0.223875641321285,1.81859864032177,0.469,11750.5,10702,10,-0.471296575985431
"neg_723",0.125670988152935,1.58789920444594,0.362,10642.5,9808,10,-0.727164890209511
"neg_724",0.684112950844535,2.14572696407803,0.134,7856.5,11456,10,0.345538917141497
"neg_725",0.0224256368226505,1.18283711981163,0.109,7361,6412,10,-1.07732950728346
"neg_726",0.454450777081765,1.67818450514792,0.27,9559.5,10215,10,-0.494495585989784
