"HGNC","ENTREZ_ID","RANK","ew1367.BCSCORE","ew1367.PVAL"
"MFSD2A",84879,1,-25.31863,9.95960787295777e-142
"SMARCB1",6598,2,-9.448311,1.72170965190233e-21
"SMARCA4",6597,3,-9.269617,9.34077638939963e-21
"ARID2",196528,4,-8.796495,7.05779270839377e-19
"HSPA5",3309,5,-8.664242,2.27263482335168e-18
"SSR3",6747,6,-8.261491,7.19319997076425e-17
"SSR2",6746,7,-7.856464,1.97564681058522e-15
"HSPE1",3336,8,-7.434606,5.2440048456253e-14
"RPL18A",6142,9,-6.911691,2.39455076949258e-12
"STT3B",201595,10,-6.736113,8.13398944760058e-12
"OTUD5",55593,11,-6.399172,7.81108920297054e-11
"RPN2",6185,12,-6.129295,4.41346636480968e-10
"METTL1",4234,13,-6.041064,7.65506154514395e-10
"OR4F21",441308,14,-5.905711,1.75564525616233e-09
"FAM20C",56975,15,-5.743076,4.64859864733129e-09
"DYRK1A",1859,16,-5.600788,1.0668978549564e-08
"BAP1",8314,17,-5.598866,1.07879242478494e-08
"UTP4",84916,18,-5.337126,4.72157099981458e-08
"PPA1",5464,19,-5.302002,5.72697931821127e-08
"SRSF10",10772,20,-5.283739,6.32867734151472e-08
"FAM86B1",85002,21,-5.234553,8.26923060919409e-08
"RBBP7",5931,22,-5.112439,1.59012849028328e-07
"TPI1",7167,23,-5.070155,1.9874592270757e-07
"ENO1",2023,24,-5.060883,2.08659627194233e-07
"TXNRD1",7296,25,-5.049227,2.21800685603102e-07
"MARS2",92935,26,-4.993251,2.96856580707474e-07
"RPRD1B",58490,27,-4.946567,3.77668686010908e-07
"MRPL41",64975,28,-4.912781,4.48967781218562e-07
"OXSM",54995,29,-4.879715,5.31196256567805e-07
"TBC1D3H",729877,30,-4.843411,6.38144516748049e-07
"TRMT112",51504,31,-4.836186,6.6177040970707e-07
"MRPS6",64968,32,-4.811446,7.49211108531574e-07
"YME1L1",10730,33,-4.771787,9.12992765410427e-07
"PSMA3",5684,34,-4.727294,1.13765853220508e-06
"TP53TG3D",729264,35,-4.687979,1.37958161761121e-06
"DMAC1",90871,36,-4.639357,1.74747433974724e-06
"KEAP1",9817,37,-4.617894,1.93827086032221e-06
"EARS2",124454,38,-4.577088,2.35746577637602e-06
"RPL12",6136,39,-4.556138,2.60513561713975e-06
"SMARCE1",6605,40,-4.554961,2.61976491717998e-06
"RPL35",11224,41,-4.554094,2.63059140780848e-06
"KATNB1",10300,42,-4.484209,3.65924523942077e-06
"UBR5",51366,43,-4.479061,3.74860542686208e-06
"RAC1",5879,44,-4.453756,4.21904950210403e-06
"TAMM41",132001,45,-4.443312,4.42922811249812e-06
"MRPL28",10573,46,-4.400752,5.39381816800823e-06
"HNRNPA2B1",3181,47,-4.400101,5.41002527778886e-06
"XRN2",22803,48,-4.39421,5.55881529831692e-06
